,(P)Portentry,(Q)USdelivery,(R)UStime,(W)ITIvalues,(S)CSpresentation,(N)Portexit,(K)CStype,(B)shockintensity,date,subject,file_path,tone_playing_time_in_video,port_entry_time_in_video
2603,563.43,,,0.0,9000.0,563.49,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,574.43
2604,563.58,,,0.0,9000.0,568.95,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,574.58
2605,572.15,,,0.0,9000.0,572.22,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,583.15
2606,572.36,,,0.0,9000.0,575.7,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,583.36
2607,575.81,,,0.0,9000.0,575.85,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,586.81
2608,577.24,,,0.0,9000.0,579.34,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,588.24
2609,581.01,,,0.0,9000.0,587.2,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,592.01
2610,587.3,,,0.0,9000.0,587.71,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,598.3
2611,587.74,,,0.0,9000.0,587.78,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,598.74
2612,587.8,,,0.0,9000.0,589.12,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,598.8
2613,589.39,,,0.0,9000.0,590.57,0.0,0.0,20220519,2.3v1.4,./data/2022-05-19_09h09m_Subject 2.3v1.4.txt,9011.0,600.39
