,index,File,Start Date,End Date,Subject,Experiment,Group,Box,Start Time,End Time,MSN,cage
36,./data/2022-05-10_10h42m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-10_10h42m_Subject 1.3.txt,05/10/22,05/10/22,1.3,Pilot of Pilot,Cage 2,2,10:42:30,11:43:52,levelNP_CS_reward_laserepochON1st_noshock,2
37,./data/2022-05-11_10h27m_Subject 2.4.txt,C:\MED-PC\Data\2022-05-11_10h27m_Subject 2.4.txt,05/11/22,05/11/22,2.4,Pilot of Pilot,Cage 2,4,10:27:24,11:32:16,levelNP_CS_reward_laserepochON1st_noshock,2
38,./data/2022-05-06_10h12m_Subject 2.4.txt,C:\MED-PC\Data\2022-05-06_10h12m_Subject 2.4.txt,05/06/22,05/06/22,2.4,Pilot of Pilot,Cage 2,3,10:12:35,11:13:47,levelNP_CS_reward_laserepochON1st_noshock,2
39,./data/2022-05-16_09h46m_Subject 1.1.txt,C:\MED-PC\Data\2022-05-16_09h46m_Subject 1.1.txt,05/16/22,05/16/22,1.1,Pilot of Pilot,Cage 1,2,09:46:29,10:49:24,levelNP_CS_reward_laserepochON1st_noshock,1
40,./data/2022-05-08_09h49m_Subject 1.4.txt,C:\MED-PC\Data\2022-05-08_09h49m_Subject 1.4.txt,05/08/22,05/08/22,1.4,Pilot of Pilot,Cage 1,4,09:49:59,10:52:52,levelNP_CS_reward_laserepochON1st_noshock,1
41,./data/2022-05-16_11h28m_Subject 2.1.txt,C:\MED-PC\Data\2022-05-16_11h28m_Subject 2.1.txt,05/16/22,05/16/22,2.1,Pilot of Pilot,Cage 2,3,11:28:27,12:35:20,levelNP_CS_reward_laserepochON1st_noshock,2
42,./data/2022-05-05_12h23m_Subject 2.1.txt,C:\MED-PC\Data\2022-05-05_12h23m_Subject 2.1.txt,05/05/22,05/05/22,2.1,Pilot of Pilot,Cage 2,3,12:23:04,13:25:29,levelNP_CS_reward_laserepochON1st_noshock,2
43,./data/2022-05-08_11h14m_Subject 2.4.txt,C:\MED-PC\Data\2022-05-08_11h14m_Subject 2.4.txt,05/08/22,05/08/22,2.4,Pilot of Pilot,Cage 2,1,11:14:36,12:19:20,levelNP_CS_reward_laserepochON1st_noshock,2
44,./data/2022-05-12_10h22m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-12_10h22m_Subject 1.3.txt,05/12/22,05/12/22,1.3,Pilot of Pilot,Cage 2,4,10:22:56,11:27:32,levelNP_CS_reward_laserepochON1st_noshock,2
45,./data/2022-05-04_10h11m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-04_10h11m_Subject 1.2.txt,05/04/22,05/04/22,1.2,Pilot of Pilot,Cage 2,3,10:11:55,11:18:44,levelNP_CS_reward_laserepochON1st_noshock,2
